Term1,Term2,Term3,llama3.1-8b-eleuther_gp,llama-scope,gemma-scope,gpt2sm-apollojt,gpt2sm-rfs-jb,gpt2sm-kk,llama3-8b-it-res-jh
male,mecca,,0,0,0,0,0,1,0
homophob,doctor,,0,0,0,0,0,1,0
doctor,nurse,,0,0,0,0,0,2,0
doctor,naive,,0,0,0,0,0,1,0
doctor,king,,0,0,0,0,0,1,0
doctor,midwife,,0,0,0,0,0,1,0
nurse,king,,0,0,0,0,0,1,0
nurse,midwife,,0,0,0,0,0,1,0
Frau,husband,,0,0,0,0,0,1,0
king,midwife,,0,0,0,0,0,1,0
king,money,,0,0,0,0,0,1,0
son,girl,boy,0,0,0,0,0,1,0
son,girl,Junge,0,0,0,0,0,1,0
son,boy,Junge,0,0,0,0,0,1,0
daughter,grandpa,grandma,0,0,0,0,0,1,0
girl,boy,Junge,0,0,0,0,0,1,0
girl,boy,Mädchen,0,0,0,0,0,1,0
girl,Mädchen,lady,0,0,0,0,0,1,0
girl,Mädchen,she,0,0,0,0,0,1,1
girl,lady,female,0,0,0,0,0,1,0
girl,lady,woman,0,0,0,0,0,2,0
girl,female,she,0,0,0,0,0,2,0
boy,men,Mann,0,0,0,0,0,1,0
boy,men,man,0,0,0,0,0,2,0
boy,men,male,0,0,0,0,0,2,0
boy,gentleman,Mann,0,0,0,0,0,1,2
boy,gentleman,man,0,0,0,0,0,3,2
boy,Mann,man,0,0,0,0,0,1,3
boy,Mann,male,0,0,0,0,0,1,0
boy,man,male,0,0,0,0,0,2,0
Junge,sacrament,allah,0,0,0,0,0,1,0
Junge,Mann,Frau,0,0,0,0,0,6,0
gospel,jesus,christian,0,0,0,0,0,1,0
gospel,jesus,christianity,0,0,0,0,0,1,0
gospel,jesus,bible,0,0,0,0,0,1,0
gospel,christian,baptsim,0,0,0,0,0,3,2
gospel,christian,christianity,0,0,0,0,0,2,0
gospel,christian,bible,0,0,0,0,0,1,2
gospel,baptsim,christianity,0,0,0,0,0,3,0
gospel,baptsim,torah,0,0,0,0,0,1,1
gospel,baptsim,bible,0,0,0,0,0,1,4
gospel,christianity,bible,0,0,0,0,0,1,0
gospel,sacrament,allah,0,0,0,0,0,1,0
gospel,talmud,islam,0,0,0,0,0,1,0
gospel,torah,islam,0,0,0,0,0,1,0
gospel,bible,islam,0,0,0,0,0,1,0
jesus,christian,baptsim,0,0,0,0,0,1,0
jesus,christian,christianity,0,0,0,0,0,1,0
jesus,christian,bible,0,0,0,0,0,1,0
jesus,baptsim,christianity,0,0,0,0,0,1,0
jesus,baptsim,bible,0,0,0,0,0,1,0
jesus,christianity,bible,0,0,0,0,0,1,0
jesus,christianity,temple,0,0,0,0,0,1,0
christian,baptsim,christianity,0,0,0,0,0,4,0
christian,baptsim,bible,0,0,0,0,0,1,2
christian,christianity,bible,0,0,0,0,0,1,0
christian,christianity,islam,0,0,0,0,0,1,0
christian,christianity,muslim,0,0,0,0,0,1,0
christian,islam,muslim,0,0,0,0,0,1,0
christian,church,mosque,0,0,0,0,0,1,0
baptsim,christianity,bible,0,0,0,0,0,2,0
christianity,islam,muslim,0,0,0,0,0,1,0
sacrament,synagogue,temple,0,0,0,0,0,1,0
sacrament,synagogue,mosque,0,0,0,0,0,1,0
sacrament,temple,mosque,0,0,0,0,0,1,0
allah,islam,mosque,0,0,0,0,0,3,0
allah,islam,muslim,0,0,0,0,0,3,0
allah,islam,halal,0,0,0,0,0,2,0
allah,mosque,muslim,0,0,0,0,0,2,0
allah,mosque,halal,0,0,0,0,0,2,0
allah,muslim,halal,0,0,0,0,0,1,0
talmud,torah,bible,0,0,0,0,0,2,0
talmud,torah,islam,0,0,0,0,0,1,0
talmud,torah,synagogue,0,0,0,0,0,1,0
talmud,torah,kippah,0,0,0,0,0,2,0
talmud,torah,juif,0,0,0,0,0,2,0
talmud,torah,judaism,0,0,0,0,0,1,0
talmud,torah,temple,0,0,0,0,0,1,0
talmud,bible,islam,0,0,0,0,0,1,0
talmud,synagogue,kosher,0,0,0,0,0,1,0
talmud,synagogue,kippah,0,0,0,0,0,2,0
talmud,synagogue,jew,0,0,0,0,0,2,0
talmud,synagogue,judaism,0,0,0,0,0,2,0
talmud,kosher,judaism,0,0,0,0,0,1,0
talmud,kippah,juif,0,0,0,0,0,3,0
talmud,kippah,jew,0,0,0,0,0,1,0
talmud,kippah,judaism,0,0,0,0,0,2,0
talmud,juif,jew,0,0,0,0,0,1,0
talmud,juif,judaism,0,0,0,0,0,3,0
talmud,shabbat,judaism,0,0,0,0,0,1,0
talmud,jew,judaism,0,0,0,0,0,3,0
torah,bible,islam,0,0,0,0,0,1,0
torah,bible,mosque,0,0,0,0,0,1,0
torah,synagogue,kippah,0,0,0,0,0,1,4
torah,synagogue,juif,0,0,0,0,0,1,3
torah,kippah,juif,0,0,0,0,0,2,3
torah,kippah,judaism,0,0,0,0,0,1,4
torah,juif,judaism,0,0,0,0,0,1,3
torah,shabbat,judaism,0,0,0,0,0,1,4
lady,female,assistant,0,0,0,0,0,1,0
lady,woman,assistant,0,0,0,0,0,1,0
female,woman,assistant,0,0,0,0,0,1,0
synagogue,juif,judaism,0,0,0,0,0,2,7
synagogue,shabbat,judaism,0,0,0,0,0,2,0
synagogue,jew,judaism,0,0,0,0,0,2,0
synagogue,temple,mosque,0,0,0,0,0,2,0
kosher,juif,judaism,0,0,0,0,0,3,8
kosher,shabbat,judaism,0,0,0,0,0,2,0
kosher,jew,judaism,0,0,0,0,0,3,0
kippah,juif,shabbat,0,0,0,0,0,5,0
kippah,juif,judaism,0,0,0,0,0,5,12
kippah,shabbat,judaism,0,0,0,0,0,2,0
kippah,jew,judaism,0,0,0,0,0,2,0
kippah,hijab,burka,0,0,0,0,0,1,0
juif,shabbat,judaism,0,0,0,0,0,2,0
juif,jew,judaism,0,0,0,0,0,6,0
temple,church,mosque,0,0,0,0,0,3,0
temple,men,Mann,0,0,0,0,0,1,0
temple,men,man,0,0,0,0,0,1,0
temple,men,male,0,0,0,0,0,1,0
temple,Mann,man,0,0,0,0,0,1,0
temple,Mann,male,0,0,0,0,0,1,0
temple,man,male,0,0,0,0,0,1,0
men,gentleman,Mann,0,0,0,0,0,1,0
men,gentleman,man,0,0,0,0,0,1,0
men,Mann,man,0,0,0,0,0,7,0
men,Mann,male,0,0,0,0,0,7,0
men,man,male,0,0,0,0,0,7,0
men,male,mecca,0,0,0,0,0,1,0
gentleman,Mann,man,0,0,0,0,0,1,2
Mann,man,male,0,0,0,0,0,5,0
doctor,nurse,king,0,0,0,0,0,1,0
doctor,nurse,midwife,0,0,0,0,0,1,0
doctor,king,midwife,0,0,0,0,0,1,0
nurse,king,midwife,0,0,0,0,0,1,0
gospel,Jude,,0,0,0,0,0,0,2
gospel,church,,0,0,0,0,0,0,4
gospel,shabbat,,0,0,0,0,0,0,1
gospel,synagogue,,0,0,0,0,0,0,2
gospel,mosque,,0,0,0,0,0,0,1
gospel,fundamentalist,,0,0,0,0,0,0,1
christian,jesus,,0,0,0,0,0,0,5
christian,Jude,,0,0,0,0,0,0,4
christian,fundamentalist,,0,0,0,0,0,0,1
christian,pope,,0,0,0,0,0,0,1
baptsim,jesus,,0,0,0,0,0,0,6
baptsim,Jude,,0,0,0,0,0,0,5
baptsim,church,,0,0,0,0,0,0,2
baptsim,islam,,0,0,0,0,0,0,1
baptsim,husband,,0,0,0,0,0,0,1
bible,Jude,,0,0,0,0,0,0,4
jesus,Jude,,0,0,0,0,0,0,4
jesus,church,,0,0,0,0,0,0,1
jesus,torah,,0,0,0,0,0,0,4
jesus,islam,,0,0,0,0,0,0,1
jesus,synagogue,,0,0,0,0,0,0,1
jesus,fundamentalist,,0,0,0,0,0,0,2
jesus,judaism,,0,0,0,0,0,0,1
Jude,torah,,0,0,0,0,0,0,2
church,synagogue,,0,0,0,0,0,0,5
church,fundamentalist,,0,0,0,0,0,0,1
church,mecca,,0,0,0,0,0,0,1
church,pope,,0,0,0,0,0,0,2
islam,shabbat,,0,0,0,0,0,0,1
islam,fundamentalist,,0,0,0,0,0,0,2
islam,judaism,,0,0,0,0,0,0,3
islam,jew,,0,0,0,0,0,0,1
shabbat,synagogue,,0,0,0,0,0,0,8
shabbat,kippah,,0,0,0,0,0,0,10
mosque,pope,,0,0,0,0,0,0,1
fundamentalist,muslim,,0,0,0,0,0,0,2
woman,Mädchen,,0,0,0,0,0,0,5
woman,grandma,,0,0,0,0,0,0,1
woman,boy,,0,0,0,0,0,0,1
woman,gentleman,,0,0,0,0,0,0,1
woman,male,,0,0,0,0,0,0,1
woman,Mann,,0,0,0,0,0,0,1
woman,man,,0,0,0,0,0,0,1
woman,Frau,,0,0,0,0,0,0,1
lady,boy,,0,0,0,0,0,0,1
Mädchen,grandma,,0,0,0,0,0,0,2
Mädchen,Mann,,0,0,0,0,0,0,3
Mädchen,Junge,,0,0,0,0,0,0,8
Mädchen,wife,,0,0,0,0,0,0,1
Mädchen,queen,,0,0,0,0,0,0,1
grandma,she,,0,0,0,0,0,0,1
grandma,boy,,0,0,0,0,0,0,1
grandma,male,,0,0,0,0,0,0,1
grandma,homemaker,,0,0,0,0,0,0,1
she,daughter,,0,0,0,0,0,0,2
she,pope,,0,0,0,0,0,0,1
she,Frau,,0,0,0,0,0,0,1
she,wife,,0,0,0,0,0,0,1
she,queen,,0,0,0,0,0,0,1
she,king,,0,0,0,0,0,0,5
daughter,boy,,0,0,0,0,0,0,1
daughter,male,,0,0,0,0,0,0,1
daughter,midwife,,0,0,0,0,0,0,1
daughter,Frau,,0,0,0,0,0,0,1
daughter,husband,,0,0,0,0,0,0,1
boy,grandpa,,0,0,0,0,0,0,3
boy,pope,,0,0,0,0,0,0,1
boy,Frau,,0,0,0,0,0,0,1
boy,husband,,0,0,0,0,0,0,1
temple,wife,,0,0,0,0,0,0,1
temple,husband,,0,0,0,0,0,0,1
gentleman,male,,0,0,0,0,0,0,3
gentleman,grandpa,,0,0,0,0,0,0,1
gentleman,pope,,0,0,0,0,0,0,1
male,grandpa,,0,0,0,0,0,0,4
male,Mann,,0,0,0,0,0,0,4
male,pope,,0,0,0,0,0,0,1
male,Frau,,0,0,0,0,0,0,1
male,Junge,,0,0,0,0,0,0,1
male,husband,,0,0,0,0,0,0,1
grandpa,Mann,,0,0,0,0,0,0,1
grandpa,pope,,0,0,0,0,0,0,1
grandpa,man,,0,0,0,0,0,0,2
grandpa,midwife,,0,0,0,0,0,0,1
grandpa,husband,,0,0,0,0,0,0,1
Mann,pope,,0,0,0,0,0,0,1
pope,man,,0,0,0,0,0,0,1
pope,professor,,0,0,0,0,0,0,2
man,Frau,,0,0,0,0,0,0,1
man,Junge,,0,0,0,0,0,0,1
homemaker,midwife,,0,0,0,0,0,0,1
homemaker,assistant,,0,0,0,0,0,0,1
midwife,nurse,,0,0,0,0,0,0,3
midwife,doctor,,0,0,0,0,0,0,2
Frau,wife,,0,0,0,0,0,0,1
Frau,queen,,0,0,0,0,0,0,1
Junge,queen,,0,0,0,0,0,0,1
wife,husband,,0,0,0,0,0,0,13
gospel,christian,jesus,0,0,0,0,0,0,2
gospel,christian,Jude,0,0,0,0,0,0,2
gospel,christian,church,0,0,0,0,0,0,1
gospel,baptsim,jesus,0,0,0,0,0,0,4
gospel,baptsim,Jude,0,0,0,0,0,0,2
gospel,baptsim,church,0,0,0,0,0,0,1
gospel,baptsim,islam,0,0,0,0,0,0,1
gospel,bible,jesus,0,0,0,0,0,0,3
gospel,bible,Jude,0,0,0,0,0,0,2
gospel,jesus,Jude,0,0,0,0,0,0,2
gospel,jesus,torah,0,0,0,0,0,0,1
gospel,church,synagogue,0,0,0,0,0,0,2
gospel,church,mosque,0,0,0,0,0,0,1
gospel,islam,shabbat,0,0,0,0,0,0,1
gospel,synagogue,mosque,0,0,0,0,0,0,1
christian,baptsim,jesus,0,0,0,0,0,0,2
christian,baptsim,Jude,0,0,0,0,0,0,3
christian,bible,jesus,0,0,0,0,0,0,2
christian,bible,Jude,0,0,0,0,0,0,2
christian,jesus,Jude,0,0,0,0,0,0,2
baptsim,bible,jesus,0,0,0,0,0,0,4
baptsim,bible,Jude,0,0,0,0,0,0,3
baptsim,bible,torah,0,0,0,0,0,0,1
baptsim,jesus,Jude,0,0,0,0,0,0,3
baptsim,jesus,torah,0,0,0,0,0,0,2
baptsim,Jude,torah,0,0,0,0,0,0,2
bible,jesus,Jude,0,0,0,0,0,0,2
bible,jesus,torah,0,0,0,0,0,0,1
bible,Jude,torah,0,0,0,0,0,0,1
jesus,Jude,torah,0,0,0,0,0,0,1
jesus,church,fundamentalist,0,0,0,0,0,0,1
jesus,torah,islam,0,0,0,0,0,0,1
jesus,torah,judaism,0,0,0,0,0,0,1
jesus,islam,judaism,0,0,0,0,0,0,1
church,synagogue,mosque,0,0,0,0,0,0,4
church,synagogue,temple,0,0,0,0,0,0,3
church,synagogue,mecca,0,0,0,0,0,0,1
church,mosque,temple,0,0,0,0,0,0,4
church,mosque,mecca,0,0,0,0,0,0,1
church,temple,mecca,0,0,0,0,0,0,1
torah,islam,mosque,0,0,0,0,0,0,1
torah,islam,judaism,0,0,0,0,0,0,1
torah,islam,muslim,0,0,0,0,0,0,1
torah,shabbat,synagogue,0,0,0,0,0,0,4
torah,shabbat,kosher,0,0,0,0,0,0,3
torah,shabbat,kippah,0,0,0,0,0,0,4
torah,shabbat,juif,0,0,0,0,0,0,3
torah,shabbat,jew,0,0,0,0,0,0,3
torah,synagogue,jew,0,0,0,0,0,0,3
torah,kosher,jew,0,0,0,0,0,0,2
torah,kippah,jew,0,0,0,0,0,0,3
torah,juif,jew,0,0,0,0,0,0,2
torah,judaism,jew,0,0,0,0,0,0,3
islam,fundamentalist,muslim,0,0,0,0,0,0,2
islam,judaism,jew,0,0,0,0,0,0,1
shabbat,synagogue,kosher,0,0,0,0,0,0,5
shabbat,synagogue,kippah,0,0,0,0,0,0,7
shabbat,synagogue,juif,0,0,0,0,0,0,6
shabbat,synagogue,judaism,0,0,0,0,0,0,8
shabbat,synagogue,jew,0,0,0,0,0,0,5
shabbat,kosher,kippah,0,0,0,0,0,0,8
shabbat,kosher,juif,0,0,0,0,0,0,8
shabbat,kosher,judaism,0,0,0,0,0,0,8
shabbat,kosher,jew,0,0,0,0,0,0,3
shabbat,kippah,juif,0,0,0,0,0,0,9
shabbat,kippah,judaism,0,0,0,0,0,0,9
shabbat,kippah,jew,0,0,0,0,0,0,5
shabbat,juif,judaism,0,0,0,0,0,0,8
shabbat,juif,jew,0,0,0,0,0,0,4
shabbat,judaism,jew,0,0,0,0,0,0,5
synagogue,temple,mecca,0,0,0,0,0,0,1
mosque,temple,mecca,0,0,0,0,0,0,3
girl,woman,Mädchen,0,0,0,0,0,0,4
girl,woman,grandma,0,0,0,0,0,0,1
girl,woman,she,0,0,0,0,0,0,1
girl,woman,daughter,0,0,0,0,0,0,1
girl,lady,Mädchen,0,0,0,0,0,0,4
girl,lady,grandma,0,0,0,0,0,0,1
girl,lady,she,0,0,0,0,0,0,2
girl,lady,daughter,0,0,0,0,0,0,1
girl,Mädchen,grandma,0,0,0,0,0,0,1
girl,Mädchen,daughter,0,0,0,0,0,0,1
girl,grandma,she,0,0,0,0,0,0,1
girl,grandma,daughter,0,0,0,0,0,0,1
girl,she,daughter,0,0,0,0,0,0,1
woman,lady,Mädchen,0,0,0,0,0,0,4
woman,lady,grandma,0,0,0,0,0,0,1
woman,lady,Frau,0,0,0,0,0,0,1
woman,Mädchen,grandma,0,0,0,0,0,0,1
woman,Mädchen,she,0,0,0,0,0,0,2
woman,Mädchen,daughter,0,0,0,0,0,0,2
woman,Mädchen,Frau,0,0,0,0,0,0,1
woman,Mädchen,wife,0,0,0,0,0,0,1
woman,grandma,she,0,0,0,0,0,0,1
woman,grandma,daughter,0,0,0,0,0,0,1
woman,she,daughter,0,0,0,0,0,0,2
woman,she,Frau,0,0,0,0,0,0,1
woman,she,wife,0,0,0,0,0,0,1
woman,daughter,Frau,0,0,0,0,0,0,1
woman,daughter,wife,0,0,0,0,0,0,1
woman,boy,gentleman,0,0,0,0,0,0,1
woman,boy,male,0,0,0,0,0,0,1
woman,boy,Mann,0,0,0,0,0,0,1
woman,boy,man,0,0,0,0,0,0,1
woman,gentleman,male,0,0,0,0,0,0,1
woman,gentleman,Mann,0,0,0,0,0,0,1
woman,gentleman,man,0,0,0,0,0,0,1
woman,male,Mann,0,0,0,0,0,0,1
woman,male,man,0,0,0,0,0,0,1
woman,Mann,man,0,0,0,0,0,0,1
woman,Frau,wife,0,0,0,0,0,0,1
lady,Mädchen,grandma,0,0,0,0,0,0,1
lady,Mädchen,she,0,0,0,0,0,0,2
lady,Mädchen,daughter,0,0,0,0,0,0,2
lady,Mädchen,Frau,0,0,0,0,0,0,1
lady,Mädchen,wife,0,0,0,0,0,0,1
lady,grandma,she,0,0,0,0,0,0,1
lady,grandma,daughter,0,0,0,0,0,0,1
lady,she,daughter,0,0,0,0,0,0,2
lady,she,Frau,0,0,0,0,0,0,1
lady,she,wife,0,0,0,0,0,0,1
lady,daughter,Frau,0,0,0,0,0,0,1
lady,daughter,wife,0,0,0,0,0,0,1
lady,boy,gentleman,0,0,0,0,0,0,1
lady,Frau,wife,0,0,0,0,0,0,1
Mädchen,grandma,she,0,0,0,0,0,0,1
Mädchen,grandma,daughter,0,0,0,0,0,0,2
Mädchen,she,daughter,0,0,0,0,0,0,2
Mädchen,she,Frau,0,0,0,0,0,0,1
Mädchen,she,wife,0,0,0,0,0,0,1
Mädchen,daughter,Frau,0,0,0,0,0,0,1
Mädchen,daughter,wife,0,0,0,0,0,0,1
Mädchen,Mann,Frau,0,0,0,0,0,0,3
Mädchen,Mann,Junge,0,0,0,0,0,0,3
Mädchen,Frau,Junge,0,0,0,0,0,0,8
Mädchen,Frau,wife,0,0,0,0,0,0,1
Mädchen,Frau,queen,0,0,0,0,0,0,1
Mädchen,Junge,queen,0,0,0,0,0,0,1
grandma,she,daughter,0,0,0,0,0,0,1
grandma,daughter,boy,0,0,0,0,0,0,1
grandma,daughter,male,0,0,0,0,0,0,1
grandma,boy,male,0,0,0,0,0,0,1
grandma,boy,grandpa,0,0,0,0,0,0,1
grandma,male,grandpa,0,0,0,0,0,0,1
she,daughter,Frau,0,0,0,0,0,0,1
she,daughter,wife,0,0,0,0,0,0,1
she,Frau,wife,0,0,0,0,0,0,1
daughter,boy,male,0,0,0,0,0,0,1
daughter,boy,grandpa,0,0,0,0,0,0,1
daughter,male,grandpa,0,0,0,0,0,0,1
daughter,Frau,wife,0,0,0,0,0,0,1
daughter,wife,husband,0,0,0,0,0,0,1
boy,gentleman,male,0,0,0,0,0,0,2
boy,gentleman,grandpa,0,0,0,0,0,0,1
boy,gentleman,pope,0,0,0,0,0,0,1
boy,male,grandpa,0,0,0,0,0,0,3
boy,male,Mann,0,0,0,0,0,0,3
boy,male,pope,0,0,0,0,0,0,1
boy,male,Frau,0,0,0,0,0,0,1
boy,male,Junge,0,0,0,0,0,0,1
boy,male,husband,0,0,0,0,0,0,1
boy,grandpa,Mann,0,0,0,0,0,0,1
boy,grandpa,pope,0,0,0,0,0,0,1
boy,grandpa,man,0,0,0,0,0,0,1
boy,grandpa,husband,0,0,0,0,0,0,1
boy,Mann,pope,0,0,0,0,0,0,1
boy,Mann,Frau,0,0,0,0,0,0,1
boy,Mann,Junge,0,0,0,0,0,0,1
boy,pope,man,0,0,0,0,0,0,1
boy,man,Frau,0,0,0,0,0,0,1
boy,man,Junge,0,0,0,0,0,0,1
boy,Frau,Junge,0,0,0,0,0,0,1
temple,wife,husband,0,0,0,0,0,0,1
kosher,judaism,jew,0,0,0,0,0,0,4
kippah,judaism,jew,0,0,0,0,0,0,9
gentleman,male,grandpa,0,0,0,0,0,0,1
gentleman,male,Mann,0,0,0,0,0,0,2
gentleman,male,pope,0,0,0,0,0,0,1
gentleman,male,man,0,0,0,0,0,0,3
gentleman,grandpa,Mann,0,0,0,0,0,0,1
gentleman,grandpa,pope,0,0,0,0,0,0,1
gentleman,grandpa,man,0,0,0,0,0,0,1
gentleman,Mann,pope,0,0,0,0,0,0,1
gentleman,pope,man,0,0,0,0,0,0,1
male,grandpa,Mann,0,0,0,0,0,0,1
male,grandpa,pope,0,0,0,0,0,0,1
male,grandpa,man,0,0,0,0,0,0,2
male,grandpa,husband,0,0,0,0,0,0,1
male,Mann,pope,0,0,0,0,0,0,1
male,Mann,man,0,0,0,0,0,0,3
male,Mann,Frau,0,0,0,0,0,0,1
male,Mann,Junge,0,0,0,0,0,0,1
male,pope,man,0,0,0,0,0,0,1
male,man,Frau,0,0,0,0,0,0,1
male,man,Junge,0,0,0,0,0,0,1
male,Frau,Junge,0,0,0,0,0,0,1
grandpa,Mann,pope,0,0,0,0,0,0,1
grandpa,Mann,man,0,0,0,0,0,0,1
grandpa,pope,man,0,0,0,0,0,0,1
Mann,pope,man,0,0,0,0,0,0,1
Mann,man,Frau,0,0,0,0,0,0,1
Mann,man,Junge,0,0,0,0,0,0,1
man,Frau,Junge,0,0,0,0,0,0,1
midwife,nurse,doctor,0,0,0,0,0,0,2
Frau,Junge,queen,0,0,0,0,0,0,1
